epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,662.263,1.79823,1.8944,1.29128,0.78258,0.48576,0.58265,0.35577,1.59402,1.83836,1.14765,0.000660066,0.000660066,0.000660066
2,978.256,1.50433,1.10796,1.13406,0.69854,0.68554,0.70519,0.4039,1.49699,1.31096,1.14367,0.00130046,0.00130046,0.00130046
3,1288.51,1.49678,1.05661,1.12975,0.69965,0.66701,0.7157,0.43127,1.51897,1.46092,1.12767,0.00191446,0.00191446,0.00191446
4,1768.42,1.4199,0.98278,1.10681,0.76845,0.72967,0.80036,0.51077,1.34749,0.9713,1.08017,0.0018812,0.0018812,0.0018812
5,2073.97,1.38116,0.92211,1.08005,0.79267,0.74286,0.82846,0.53539,1.32783,1.06203,1.06406,0.0018416,0.0018416,0.0018416
6,2381.46,1.32806,0.87547,1.06825,0.7998,0.80106,0.82734,0.53389,1.33045,0.91305,1.07852,0.001802,0.001802,0.001802
7,2692.72,1.28868,0.84184,1.04523,0.81536,0.72863,0.80886,0.54866,1.30847,0.99793,1.06028,0.0017624,0.0017624,0.0017624
8,3001.79,1.26651,0.81544,1.03728,0.83294,0.813,0.87745,0.56679,1.32771,0.89026,1.0481,0.0017228,0.0017228,0.0017228
9,3315.85,1.26007,0.80131,1.03024,0.85698,0.77465,0.87377,0.56836,1.34441,0.84657,1.05352,0.0016832,0.0016832,0.0016832
10,3628.89,1.26895,0.78958,1.04016,0.83745,0.83546,0.87261,0.5866,1.23793,1.00748,1.05133,0.0016436,0.0016436,0.0016436
11,3940.74,1.20424,0.75102,1.02041,0.8565,0.81592,0.88261,0.61075,1.23302,0.86664,1.02856,0.001604,0.001604,0.001604
12,4258.58,1.19916,0.74236,1.01033,0.87972,0.80935,0.89608,0.62573,1.1872,0.75033,1.02196,0.0015644,0.0015644,0.0015644
13,4571.04,1.2025,0.7414,1.01021,0.87723,0.80935,0.89905,0.61391,1.17667,0.81505,1.02624,0.0015248,0.0015248,0.0015248
14,5299.37,1.18317,0.72838,1.00397,0.85517,0.83784,0.89708,0.61971,1.23954,0.87955,1.03496,0.0014852,0.0014852,0.0014852
15,6212.32,1.15751,0.70855,0.99824,0.893,0.80241,0.90671,0.63985,1.19192,0.71907,1.00916,0.0014456,0.0014456,0.0014456
16,6966.83,1.14361,0.70052,0.99086,0.89691,0.84204,0.92034,0.65216,1.10604,0.66972,0.98499,0.001406,0.001406,0.001406
17,7756.36,1.13797,0.68901,0.98458,0.85163,0.80923,0.87489,0.61302,1.15753,0.80475,1.01277,0.0013664,0.0013664,0.0013664
18,8575.39,1.12162,0.67878,0.97932,0.8957,0.85939,0.92289,0.65501,1.10118,0.73371,0.9892,0.0013268,0.0013268,0.0013268
19,16705.4,1.10243,0.66128,0.97873,0.91263,0.84332,0.92462,0.66429,1.0916,0.66858,0.99313,0.0012872,0.0012872,0.0012872
20,18772.9,1.10525,0.66455,0.97458,0.91637,0.84437,0.92988,0.67917,1.07904,0.63184,0.97739,0.0012476,0.0012476,0.0012476
21,19396.3,1.08881,0.65285,0.96187,0.88478,0.861,0.92154,0.66785,1.06796,0.72838,0.97823,0.001208,0.001208,0.001208
22,19998.2,1.09219,0.65136,0.97359,0.88918,0.82031,0.91059,0.66227,1.08854,0.66648,0.98251,0.0011684,0.0011684,0.0011684
23,20585.7,1.08871,0.6534,0.96707,0.92632,0.86267,0.94292,0.68592,1.04618,0.61296,0.96947,0.0011288,0.0011288,0.0011288
24,21147.2,1.07222,0.63401,0.96618,0.92088,0.87139,0.94251,0.68952,1.0667,0.62938,0.97623,0.0010892,0.0010892,0.0010892
25,21840.5,1.05178,0.62812,0.96211,0.90211,0.86998,0.93352,0.68772,1.04487,0.6157,0.96997,0.0010496,0.0010496,0.0010496
26,23618.4,1.04769,0.61729,0.9603,0.91125,0.86669,0.9388,0.69727,1.02399,0.61076,0.96398,0.00101,0.00101,0.00101
27,25155.6,1.02211,0.60772,0.94876,0.90398,0.86653,0.93498,0.67791,1.07906,0.68711,0.9783,0.0009704,0.0009704,0.0009704
28,26390.4,1.03412,0.61224,0.95452,0.91643,0.85756,0.92388,0.67967,1.03574,0.64522,0.97971,0.0009308,0.0009308,0.0009308
29,30675.1,1.01038,0.59646,0.94855,0.89483,0.88564,0.92902,0.68889,1.03133,0.6591,0.9656,0.0008912,0.0008912,0.0008912
30,34388.3,1.00278,0.58932,0.94149,0.92449,0.88203,0.94158,0.70177,1.01665,0.5869,0.96395,0.0008516,0.0008516,0.0008516
31,34994,0.99987,0.59176,0.93984,0.91603,0.89647,0.94541,0.71568,0.95893,0.57851,0.94379,0.000812,0.000812,0.000812
32,35584,1.00915,0.59235,0.94065,0.92542,0.87984,0.94483,0.70595,1.02455,0.58496,0.96645,0.0007724,0.0007724,0.0007724
33,36162.2,0.98969,0.57813,0.93543,0.92998,0.88288,0.95039,0.72293,0.98841,0.56653,0.95692,0.0007328,0.0007328,0.0007328
34,36749.8,0.9714,0.57653,0.92862,0.92655,0.89262,0.94911,0.72328,0.97969,0.55717,0.94512,0.0006932,0.0006932,0.0006932
35,37345.8,0.95681,0.56415,0.92926,0.92487,0.91052,0.95455,0.729,0.95699,0.5486,0.94528,0.0006536,0.0006536,0.0006536
36,37947.7,0.94766,0.55698,0.93143,0.93119,0.8981,0.95118,0.7268,0.96971,0.57041,0.94962,0.000614,0.000614,0.000614
37,38532.2,0.96561,0.56447,0.93071,0.9308,0.89518,0.95231,0.72826,0.96417,0.56896,0.94498,0.0005744,0.0005744,0.0005744
38,38863.7,0.95111,0.55734,0.9295,0.94204,0.8981,0.95748,0.74298,0.94175,0.53794,0.93677,0.0005348,0.0005348,0.0005348
39,39157.2,0.93149,0.54908,0.9236,0.94,0.88696,0.95399,0.73631,0.93555,0.55093,0.93524,0.0004952,0.0004952,0.0004952
40,39449.6,0.91839,0.53783,0.91737,0.93432,0.91161,0.95918,0.74356,0.9184,0.52702,0.92769,0.0004556,0.0004556,0.0004556
41,39739,0.86971,0.51586,0.91149,0.93138,0.90719,0.95241,0.739,0.91367,0.54457,0.93564,0.000416,0.000416,0.000416
42,40024.1,0.83883,0.48942,0.90161,0.94011,0.90467,0.96155,0.74781,0.92059,0.52298,0.92801,0.0003764,0.0003764,0.0003764
43,40313.5,0.84726,0.49079,0.90007,0.94603,0.90907,0.96013,0.75115,0.90283,0.51827,0.92847,0.0003368,0.0003368,0.0003368
44,40597.8,0.83553,0.48408,0.89555,0.94891,0.90893,0.96091,0.74852,0.90306,0.51494,0.92639,0.0002972,0.0002972,0.0002972
45,40882.8,0.81595,0.47702,0.89267,0.94893,0.90321,0.96207,0.76431,0.85656,0.49451,0.92036,0.0002576,0.0002576,0.0002576
46,41172,0.79806,0.47022,0.88656,0.94383,0.90614,0.96469,0.77043,0.85674,0.48458,0.91751,0.000218,0.000218,0.000218
47,41460.7,0.79672,0.46661,0.88507,0.94663,0.91342,0.9641,0.76473,0.86755,0.5041,0.9207,0.0001784,0.0001784,0.0001784
48,41748.4,0.78507,0.46167,0.88414,0.94289,0.92038,0.96355,0.77225,0.85138,0.50494,0.92242,0.0001388,0.0001388,0.0001388
49,42031.6,0.7694,0.45411,0.87828,0.94385,0.92091,0.96437,0.77373,0.84417,0.48975,0.91736,9.92e-05,9.92e-05,9.92e-05
50,42317.1,0.75947,0.44929,0.8771,0.9508,0.91747,0.96619,0.77958,0.8356,0.48132,0.91569,5.96e-05,5.96e-05,5.96e-05
